Axial Distance,Radial Diastance,Area Ratio,Axial Distance,Radial Distance
in,in,Unitless,m,m
,,10.49682742,0.020496,0.0381
,,10.49682742,0.020679,0.0381
,,10.49682742,0.020862,0.0381
,,10.49682742,0.021045,0.0381
,,10.49682742,0.021228,0.0381
,,10.49682742,0.021411,0.0381
,,10.49682742,0.021594,0.0381
,,10.49682742,0.021777,0.0381
,,10.49682742,0.02196,0.0381
,,10.49682742,0.022143,0.0381
,,10.49682742,0.022326,0.0381
,,10.49682742,0.022509,0.0381
,,10.49682742,0.022692,0.0381
,,10.49682742,0.022875,0.0381
,,10.49682742,0.023058,0.0381
,,10.49682742,0.023241,0.0381
,,10.49682742,0.023424,0.0381
,,10.49682742,0.023607,0.0381
,,10.49682742,0.02379,0.0381
,,10.49682742,0.023973,0.0381
,,10.49682742,0.024156,0.0381
,,10.49682742,0.024339,0.0381
,,10.49682742,0.024522,0.0381
,,10.49682742,0.024705,0.0381
,,10.49682742,0.024888,0.0381
,,10.49682742,0.025071,0.0381
,,10.49682742,0.025254,0.0381
,,10.49682742,0.025437,0.0381
,,10.49682742,0.02562,0.0381
,,10.49682742,0.025803,0.0381
,,10.49682742,0.025986,0.0381
,,10.49682742,0.026169,0.0381
,,10.49682742,0.026352,0.0381
,,10.49682742,0.026535,0.0381
,,10.49682742,0.026718,0.0381
,,10.49682742,0.026901,0.0381
,,10.49682742,0.027084,0.0381
,,10.49682742,0.027267,0.0381
,,10.49682742,0.02745,0.0381
,,10.49682742,0.027633,0.0381
,,10.49682742,0.027816,0.0381
,,10.49682742,0.027999,0.0381
,,10.49682742,0.028182,0.0381
,,10.49682742,0.028365,0.0381
,,10.49682742,0.028548,0.0381
,,10.49682742,0.028731,0.0381
,,10.49682742,0.028914,0.0381
,,10.49682742,0.029097,0.0381
,,10.49682742,0.02928,0.0381
,,10.49682742,0.029463,0.0381
,,10.49682742,0.029646,0.0381
,,10.49682742,0.029829,0.0381
,,10.49682742,0.030012,0.0381
,,10.49682742,0.030195,0.0381
,,10.49682742,0.030378,0.0381
,,10.49682742,0.030561,0.0381
,,10.49682742,0.030744,0.0381
,,10.49682742,0.030927,0.0381
,,10.49682742,0.03111,0.0381
,,10.49682742,0.031293,0.0381
,,10.49682742,0.031476,0.0381
,,10.49682742,0.031659,0.0381
,,10.49682742,0.031842,0.0381
,,10.49682742,0.032025,0.0381
,,10.49682742,0.032208,0.0381
,,10.49682742,0.032391,0.0381
,,10.49682742,0.032574,0.0381
,,10.49682742,0.032757,0.0381
,,10.49682742,0.03294,0.0381
,,10.49682742,0.033123,0.0381
,,10.49682742,0.033306,0.0381
,,10.49682742,0.033489,0.0381
,,10.49682742,0.033672,0.0381
,,10.49682742,0.033855,0.0381
,,10.49682742,0.034038,0.0381
,,10.49682742,0.034221,0.0381
,,10.49682742,0.034404,0.0381
,,10.49682742,0.034587,0.0381
,,10.49682742,0.03477,0.0381
,,10.49682742,0.034953,0.0381
,,10.49682742,0.035136,0.0381
,,10.49682742,0.035319,0.0381
,,10.49682742,0.035502,0.0381
,,10.49682742,0.035685,0.0381
,,10.49682742,0.035868,0.0381
,,10.49682742,0.036051,0.0381
,,10.49682742,0.036234,0.0381
,,10.49682742,0.036417,0.0381
,,10.49682742,0.0366,0.0381
,,10.49682742,0.036783,0.0381
,,10.49682742,0.036966,0.0381
,,10.49682742,0.037149,0.0381
,,10.49682742,0.037332,0.0381
,,10.49682742,0.037515,0.0381
,,10.49682742,0.037698,0.0381
,,10.49682742,0.037881,0.0381
,,10.49682742,0.038064,0.0381
,,10.49682742,0.038247,0.0381
,,10.49682742,0.03843,0.0381
,,10.49682742,0.038613,0.0381
,,10.49682742,0.038796,0.0381
,,10.49682742,0.038979,0.0381
,,10.49682742,0.039162,0.0381
,,10.49682742,0.039345,0.0381
,,10.49682742,0.039528,0.0381
,,10.49682742,0.039711,0.0381
,,10.49682742,0.039894,0.0381
,,10.49682742,0.040077,0.0381
,,10.49682742,0.04026,0.0381
,,10.49682742,0.040443,0.0381
,,10.49682742,0.040626,0.0381
,,10.49682742,0.040809,0.0381
,,10.49682742,0.040992,0.0381
,,10.49682742,0.041175,0.0381
,,10.49682742,0.041358,0.0381
,,10.49682742,0.041541,0.0381
,,10.49682742,0.041724,0.0381
,,10.49682742,0.041907,0.0381
,,10.49682742,0.04209,0.0381
,,10.49682742,0.042273,0.0381
,,10.49682742,0.042456,0.0381
,,10.49682742,0.042639,0.0381
,,10.49682742,0.042822,0.0381
,,10.49682742,0.043005,0.0381
,,10.49682742,0.043188,0.0381
,,10.49682742,0.043371,0.0381
,,10.49682742,0.043554,0.0381
,,10.49682742,0.043737,0.0381
,,10.49682742,0.04392,0.0381
,,10.49682742,0.044103,0.0381
,,10.49682742,0.044286,0.0381
,,10.49682742,0.044469,0.0381
,,10.49682742,0.044652,0.0381
,,10.49682742,0.044835,0.0381
,,10.49682742,0.045018,0.0381
,,10.49682742,0.045201,0.0381
,,10.49682742,0.045384,0.0381
,,10.49682742,0.045567,0.0381
,,10.49682742,0.04575,0.0381
,,10.49682742,0.045933,0.0381
,,10.49682742,0.046116,0.0381
,,10.49682742,0.046299,0.0381
,,10.49682742,0.046482,0.0381
,,10.49682742,0.046665,0.0381
,,10.49682742,0.046848,0.0381
,,10.49682742,0.047031,0.0381
,,10.49682742,0.047214,0.0381
,,10.49682742,0.047397,0.0381
,,10.49682742,0.04758,0.0381
,,10.49682742,0.047763,0.0381
,,10.49682742,0.047946,0.0381
,,10.49682742,0.048129,0.0381
,,10.49682742,0.048312,0.0381
,,10.49682742,0.048495,0.0381
,,10.49682742,0.048678,0.0381
,,10.49682742,0.048861,0.0381
,,10.49682742,0.049044,0.0381
,,10.49682742,0.049227,0.0381
,,10.49682742,0.04941,0.0381
,,10.49682742,0.049593,0.0381
,,10.49682742,0.049776,0.0381
,,10.49682742,0.049959,0.0381
,,10.49682742,0.050142,0.0381
,,10.49682742,0.050325,0.0381
,,10.49682742,0.050508,0.0381
,,10.49682742,0.050691,0.0381
,,10.49682742,0.050874,0.0381
,,10.49682742,0.051057,0.0381
,,10.49682742,0.05124,0.0381
,,10.49682742,0.051423,0.0381
,,10.49682742,0.051606,0.0381
,,10.49682742,0.051789,0.0381
,,10.49682742,0.051972,0.0381
,,10.49682742,0.052155,0.0381
,,10.49682742,0.052338,0.0381
,,10.49682742,0.052521,0.0381
,,10.49682742,0.052704,0.0381
,,10.49682742,0.052887,0.0381
,,10.49682742,0.05307,0.0381
,,10.49682742,0.053253,0.0381
,,10.49682742,0.053436,0.0381
,,10.49682742,0.053619,0.0381
,,10.49682742,0.053802,0.0381
,,10.49682742,0.053985,0.0381
,,10.49682742,0.054168,0.0381
,,10.49682742,0.054351,0.0381
,,10.49682742,0.054534,0.0381
,,10.49682742,0.054717,0.0381
,,10.49682742,0.0549,0.0381
,,10.49682742,0.055083,0.0381
,,10.49682742,0.055266,0.0381
,,10.49682742,0.055449,0.0381
,,10.49682742,0.055632,0.0381
,,10.49682742,0.055815,0.0381
,,10.49682742,0.055998,0.0381
,,10.49682742,0.056181,0.0381
,,10.49682742,0.056364,0.0381
,,10.49682742,0.056547,0.0381
,,10.49682742,0.05673,0.0381
,,10.49682742,0.056913,0.0381
,,10.49682742,0.057096,0.0381
,,10.49682742,0.057279,0.0381
,,10.49682742,0.057462,0.0381
,,10.49682742,0.057645,0.0381
,,10.49682742,0.057828,0.0381
,,10.49682742,0.058011,0.0381
,,10.49682742,0.058194,0.0381
,,10.49682742,0.058377,0.0381
,,10.49682742,0.05856,0.0381
,,10.49682742,0.058743,0.0381
,,10.49682742,0.058926,0.0381
,,10.49682742,0.059109,0.0381
,,10.49682742,0.059292,0.0381
,,10.49682742,0.059475,0.0381
,,10.49682742,0.059658,0.0381
,,10.49682742,0.059841,0.0381
,,10.49682742,0.060024,0.0381
,,10.49682742,0.060207,0.0381
,,10.49682742,0.06039,0.0381
,,10.49682742,0.060573,0.0381
,,10.49682742,0.060756,0.0381
,,10.49682742,0.060939,0.0381
,,10.49682742,0.061122,0.0381
,,10.49682742,0.061305,0.0381
,,10.49682742,0.061488,0.0381
,,10.49682742,0.061671,0.0381
,,10.49682742,0.061854,0.0381
,,10.49682742,0.062037,0.0381
,,10.49682742,0.06222,0.0381
,,10.49682742,0.062403,0.0381
,,10.49682742,0.062586,0.0381
,,10.49682742,0.062769,0.0381
,,10.49682742,0.062952,0.0381
,,10.49682742,0.063135,0.0381
,,10.49682742,0.063318,0.0381
,,10.49682742,0.063501,0.0381
,,10.49682742,0.063684,0.0381
,,10.49682742,0.063867,0.0381
,,10.49682742,0.06405,0.0381
,,10.49682742,0.064233,0.0381
,,10.49682742,0.064416,0.0381
,,10.49682742,0.064599,0.0381
,,10.49682742,0.064782,0.0381
,,10.49682742,0.064965,0.0381
,,10.49682742,0.065148,0.0381
,,10.49682742,0.065331,0.0381
,,10.49682742,0.065514,0.0381
,,10.49682742,0.065697,0.0381
,,10.49682742,0.06588,0.0381
,,10.49682742,0.066063,0.0381
,,10.49682742,0.066246,0.0381
,,10.49682742,0.066429,0.0381
,,10.49682742,0.066612,0.0381
,,10.49682742,0.066795,0.0381
,,10.49682742,0.066978,0.0381
,,10.49682742,0.067161,0.0381
,,10.49682742,0.067344,0.0381
,,10.49682742,0.067527,0.0381
,,10.49682742,0.06771,0.0381
,,10.49682742,0.067893,0.0381
,,10.49682742,0.068076,0.0381
,,10.49682742,0.068259,0.0381
,,10.49682742,0.068442,0.0381
,,10.49682742,0.068625,0.0381
,,10.49682742,0.068808,0.0381
,,10.49682742,0.068991,0.0381
,,10.49682742,0.069174,0.0381
,,10.49682742,0.069357,0.0381
,,10.49682742,0.06954,0.0381
,,10.49682742,0.069723,0.0381
,,10.49682742,0.069906,0.0381
,,10.49682742,0.070089,0.0381
,,10.49682742,0.070272,0.0381
,,10.49682742,0.070455,0.0381
,,10.49682742,0.070638,0.0381
,,10.49682742,0.070821,0.0381
,,10.49682742,0.071004,0.0381
,,10.49682742,0.071187,0.0381
,,10.49682742,0.07137,0.0381
,,10.49682742,0.071553,0.0381
,,10.49682742,0.071736,0.0381
,,10.49682742,0.071919,0.0381
,,10.49682742,0.072102,0.0381
,,10.49682742,0.072285,0.0381
,,10.49682742,0.072468,0.0381
,,10.49682742,0.072651,0.0381
,,10.49682742,0.072834,0.0381
,,10.49682742,0.073017,0.0381
,,10.49682742,0.0732,0.0381
,,10.49682742,0.073383,0.0381
